director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,the main event,Seth Carr Tichina Arnold Ken Marino Jay Karas Family Comedy
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,we summon the darkness,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror Thriller
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance,the lost husband,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Romance
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,corona zombies,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror Comedy
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,the willoughbys,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation Comedy Family
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,extraction,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama Action Thriller
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama Comedy,braking for whales,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama Comedy
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama Crime History TV Movie,bad education,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama Crime History TV Movie
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror Mystery Thriller,the wretched,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers Horror Mystery Thriller
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance,the half of it,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy Romance
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime Thriller,arkansas,Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke Crime Thriller
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,valley girl,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy Romance
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,capone,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime Drama
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,the wrong missy,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy Romance
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Animation Family Comedy Adventure,scoob!,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Animation Family Comedy Adventure
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller Crime Drama Action,blood and money,Tom Berenger Kristen Hager Mark Sivertsen John Barr Thriller Crime Drama Action
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Comedy Action Romance
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller,shirley,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama Thriller
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Thriller Crime Horror,becky,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Thriller Crime Horror"
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War Drama
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy Music Drama
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
Daniel Chong,Eric Edelstein,Bobby Moynihan,Demetri Martin,Family Animation Adventure Comedy TV Movie,we bare bears: the movie,Eric Edelstein Bobby Moynihan Demetri Martin Daniel Chong Family Animation Adventure Comedy TV Movie
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History Drama,hamilton,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail History Drama
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama Mystery Thriller,relic,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Drama Mystery Thriller
