director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Horror Thriller Mystery,escape room,Taylor Russell Logan Miller Deborah Ann Woll Adam Robitel Horror Thriller Mystery
Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama,rust creek,Hermione Corfield Jay Paulson Sean O'Bryan Jen McGowan Thriller Drama
Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,american hangman,Donald Sutherland Vincent Kartheiser Oliver Dennis Wilson Coneybeare Thriller
Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,a dog's way home,Bryce Dallas Howard Edward James Olmos Alexandra Shipp Charles Martin Smith Drama Adventure Family
Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,the upside,Bryan Cranston Kevin Hart Nicole Kidman Neil Burger Comedy Drama
Jeffrey Nachmanoff,Keanu Reeves,unknown,unknown,Science Fiction Thriller Drama,replicas,Keanu Reeves unknown unknown Jeffrey Nachmanoff Science Fiction Thriller Drama
Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,after darkness,Natalia Dyer Kyra Sedgwick Tim Daly Batán Silva Drama Family Thriller Science Fiction
M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,glass,James McAvoy Bruce Willis Samuel L. Jackson M. Night Shyamalan Thriller Drama Science Fiction
Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Drama,close,Noomi Rapace Sophie Nélisse Indira Varma Vicky Jewson Drama
Henry Dunham,James Badge Dale,Brian Geraghty,unknown,Drama Thriller Mystery,the standoff at sparrow creek,James Badge Dale Brian Geraghty unknown Henry Dunham Drama Thriller Mystery
Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,the final wish,Lin Shaye Michael Welch Melissa Bolona Timothy Woodward Jr. Horror
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,the kid who would be king,Louis Ashbourne Serkis Dean Chaumoo Tom Taylor Joe Cornish Action Adventure Fantasy Family
Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke,Science Fiction Action Adventure Thriller,serenity,Matthew McConaughey Anne Hathaway Jason Clarke Steven Knight Science Fiction Action Adventure Thriller
Grant Sputore,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard,Science Fiction Thriller,i am mother,Grant Sputore (director) Michael Lloyd Green (screenplay/story) Clara Rugaard Grant Sputore Science Fiction Thriller
Andrew Patterson,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick,Mystery Science Fiction Thriller,the vast of night,Andrew Patterson (director) James Montague Craig W. Sanger (writers); Sierra McCormick Andrew Patterson Mystery Science Fiction Thriller
Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie,Action,miss bala,Gina Rodriguez Ismael Cruz Córdova Anthony Mackie Catherine Hardwicke Action
Dan Gilroy,Jake Gyllenhaal,Rene Russo,Toni Collette,Thriller Mystery Horror,velvet buzzsaw,Jake Gyllenhaal Rene Russo Toni Collette Dan Gilroy Thriller Mystery Horror
Nicolas Pesce,Christopher Abbott,Mia Wasikowska,Laia Costa,Horror Thriller Mystery,piercing,Christopher Abbott Mia Wasikowska Laia Costa Nicolas Pesce Horror Thriller Mystery
Mike Mitchell,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action Adventure Animation Comedy Family,the lego movie 2: the second part,Chris Pratt Elizabeth Banks Tiffany Haddish Mike Mitchell Action Adventure Animation Comedy Family
Adam Shankman,Taraji P. Henson,Tracy Morgan,Max Greenfield,Comedy Romance,what men want,Taraji P. Henson Tracy Morgan Max Greenfield Adam Shankman Comedy Romance
Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson,Action Crime Thriller,cold pursuit,Liam Neeson Tom Bateman Tom Jackson Hans Petter Moland Action Crime Thriller
Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg,Drama,high flying bird,André Holland Zazie Beetz Melvin Gregg Steven Soderbergh Drama
Nicholas McCarthy,Taylor Schilling,Peter Mooney,Colm Feore,Horror Thriller,the prodigy,Taylor Schilling Peter Mooney Colm Feore Nicholas McCarthy Horror Thriller
Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,isn't it romantic,Rebel Wilson Liam Hemsworth Adam DeVine Todd Strauss-Schulson Comedy Fantasy Romance
Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,happy death day 2u,Jessica Rothe Israel Broussard Phi Vu Christopher Landon Comedy Horror Science Fiction
Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,alita: battle angel,Rosa Salazar Christoph Waltz Jennifer Connelly Robert Rodriguez Action Science Fiction Adventure
Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,how to train your dragon: the hidden world,Jay Baruchel America Ferrera Cate Blanchett Dean DeBlois Animation Family Adventure
Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,fighting with my family,Florence Pugh Lena Headey Nick Frost Stephen Merchant Comedy
Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,tyler perry's a madea family funeral,Tyler Perry Courtney Burrell Patrice Lovely Tyler Perry Comedy
Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Mystery Thriller Horror,greta,Isabelle Huppert Chloë Grace Moretz Maika Monroe Neil Jordan Mystery Thriller Horror
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,triple frontier,Ben Affleck Oscar Isaac Charlie Hunnam J. C. Chandor Action Thriller Crime Adventure
